GPU Memory Track | 06-Jun-22-16:09:32 | Total Tensor Used Memory:0.0    Mb Total Allocated Memory:0.0    Mb


At JTVAE/fast_molvae/jtnnvae_train.py line 76: <module> Total Tensor Used Memory:0.0    Mb Total Allocated Memory:0.0    Mb

+ | 1 * Size:(580,)               | Memory: 0.0044 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(180, 450)           | Memory: 0.6179 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(10, 900)            | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
+ | 39 * Size:(895, 4, 450)        | Memory: 239.67 M | <class 'torch.Tensor'> | torch.float32
+ | 28 * Size:(32, 900)            | Memory: 3.0761 M | <class 'torch.Tensor'> | torch.float32
+ | 40 * Size:(895, 932)           | Memory: 127.27 M | <class 'torch.Tensor'> | torch.float32
+ | 3 * Size:(26,)                | Memory: 0.0005 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(11,)                | Memory: 0.0001 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(4428,)              | Memory: 0.0337 M | <class 'torch.Tensor'> | torch.int64
+ | 3 * Size:(10,)                | Memory: 0.0002 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2395,)              | Memory: 0.0182 M | <class 'torch.Tensor'> | torch.int64
+ | 4 * Size:(23, 15, 450)        | Memory: 2.3689 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(479, 5)             | Memory: 0.0182 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(345, 450)           | Memory: 1.1844 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(926, 450)           | Memory: 1.5895 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(9,)                 | Memory: 0.0001 M | <class 'torch.Tensor'> | torch.int64
+ | 6 * Size:(32, 28)             | Memory: 0.0205 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(18,)                | Memory: 0.0002 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:()                   | Memory: 3.8146 M | <class 'torch.Tensor'> | torch.float32
+ | 27 * Size:(32, 15, 450)        | Memory: 22.247 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(14,)                | Memory: 0.0002 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(926,)               | Memory: 0.0070 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(14, 900)            | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
+ | 12 * Size:(14, 450)            | Memory: 0.2883 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(14, 15, 450)        | Memory: 1.4419 M | <class 'torch.Tensor'> | torch.float32
- | 12 * Size:(450,)               | Memory: 0.0205 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 4 * Size:(28, 450)            | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At JTVAE/fast_molvae/jtnnvae_train.py line 125: <module> Total Tensor Used Memory:799.0  Mb Total Allocated Memory:733.0  Mb

+ | 12 * Size:(450, 932)           | Memory: 19.198 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 4 * Size:(450, 60)            | Memory: 0.4119 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(450, 40)            | Memory: 0.2746 M | <class 'torch.Tensor'> | torch.float32
+ | 12 * Size:(450, 900)           | Memory: 18.539 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 12 * Size:(450, 900)           | Memory: 18.539 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(450, 60)            | Memory: 0.4119 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 20 * Size:(450, 450)           | Memory: 15.449 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 4 * Size:(859,)               | Memory: 0.0131 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 12 * Size:(450, 932)           | Memory: 19.198 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(859,)               | Memory: 0.0131 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
+ | 12 * Size:(859, 450)           | Memory: 17.694 M | <class 'torch.Tensor'> | torch.float32
+ | 8 * Size:(450, 510)           | Memory: 7.0037 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 4 * Size:(450, 521)           | Memory: 3.5774 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(450, 485)           | Memory: 3.3302 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 4 * Size:(450, 82)            | Memory: 0.5630 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(450, 521)           | Memory: 3.5774 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 4 * Size:(1,)                 | Memory: 1.5258 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 4 * Size:(1,)                 | Memory: 1.5258 M | <class 'torch.Tensor'> | torch.float32
+ | 20 * Size:(450, 450)           | Memory: 15.449 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(1, 450)             | Memory: 0.0068 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(1, 450)             | Memory: 0.0068 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 4 * Size:(450, 82)            | Memory: 0.5630 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 4 * Size:(450, 482)           | Memory: 3.3096 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 16 * Size:(28,)                | Memory: 0.0017 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
